game_date,season,opponent,rangers_home,rangers_ml,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_dollar,win,cumulative_pnl
2022-02-26,2021-22,Pittsburgh Penguins,False,210,2022-02-28,2022-03-02,165.87,163.92,-1.175,-117.48,False,-117.48
2022-03-08,2021-22,Minnesota Wild,False,220,2022-03-09,2022-03-11,159.07,160.55,0.931,93.08,True,-24.4
2022-03-10,2021-22,St Louis Blues,False,165,2022-03-11,2022-03-15,165.49,162.07,-2.066,-206.64,False,-231.04
2022-03-12,2021-22,Dallas Stars,False,170,2022-03-14,2022-03-16,160.62,164.31,2.296,229.56,True,-1.48
2022-03-19,2021-22,Tampa Bay Lightning,False,260,2022-03-21,2022-03-23,162.67,164.15,0.91,91.02,True,89.54
2022-03-20,2021-22,Carolina Hurricanes,False,320,2022-03-21,2022-03-23,162.67,164.15,0.91,91.02,True,180.56
2022-03-25,2021-22,Pittsburgh Penguins,True,160,2022-03-28,2022-03-30,165.59,171.58,3.617,361.7,True,542.26
2022-03-29,2021-22,Pittsburgh Penguins,False,200,2022-03-30,2022-04-01,166.18,170.28,2.466,246.59,True,788.85
2022-04-23,2021-22,Boston Bruins,False,170,2022-04-25,2022-04-27,158.93,158.47,-0.289,-28.85,False,760.0
2022-05-18,2021-22,Carolina Hurricanes,False,220,2022-05-19,2022-05-23,151.32,158.17,4.533,453.25,True,1213.25
2022-05-20,2021-22,Carolina Hurricanes,False,229,2022-05-23,2022-05-25,156.65,155.95,-0.445,-44.52,False,1168.73
2022-05-26,2021-22,Carolina Hurricanes,False,200,2022-05-27,2022-06-01,156.24,154.61,-1.045,-104.54,False,1064.19
2022-05-30,2021-22,Carolina Hurricanes,False,200,2022-05-31,2022-06-02,156.46,157.89,0.91,90.96,True,1155.15
2022-06-01,2021-22,Tampa Bay Lightning,True,160,2022-06-02,2022-06-06,154.75,155.64,0.58,58.02,True,1213.17
2022-06-03,2021-22,Tampa Bay Lightning,True,165,2022-06-06,2022-06-08,157.8,154.63,-2.01,-200.97,False,1012.2
