season,date,home_team,away_team,home_score,away_score,rangers_home,home_ml,draw_ml,away_ml,rangers_ml,opponent_ml,game_url
2021-22,2022-06-11,Tampa Bay Lightning,New York Rangers,2.0,,False,-125.0,290.0,260.0,260.0,-125.0,/hockey/usa/nhl-2021-2022/tampa-bay-lightning-new-york-rangers-betoz0HQ/
2021-22,2022-06-09,New York Rangers,Tampa Bay Lightning,3.0,,True,170.0,275.0,135.0,170.0,135.0,/hockey/usa/nhl-2021-2022/new-york-rangers-tampa-bay-lightning-QZ34clgG/
2021-22,2022-06-07,Tampa Bay Lightning,New York Rangers,4.0,,False,-105.0,290.0,240.0,240.0,-105.0,/hockey/usa/nhl-2021-2022/tampa-bay-lightning-new-york-rangers-YDlKGbbp/
2021-22,2022-06-05,Tampa Bay Lightning,New York Rangers,3.0,,False,-105.0,300.0,240.0,240.0,-105.0,/hockey/usa/nhl-2021-2022/tampa-bay-lightning-new-york-rangers-tMdhLvjT/
2021-22,2022-06-03,New York Rangers,Tampa Bay Lightning,3.0,,True,165.0,290.0,135.0,165.0,135.0,/hockey/usa/nhl-2021-2022/new-york-rangers-tampa-bay-lightning-2VclMKzN/
2021-22,2022-06-01,New York Rangers,Tampa Bay Lightning,6.0,,True,160.0,320.0,125.0,160.0,125.0,/hockey/usa/nhl-2021-2022/new-york-rangers-tampa-bay-lightning-K68qN0LG/
2021-22,2022-05-30,Carolina Hurricanes,New York Rangers,6.0,,False,114.0,275.0,200.0,200.0,114.0,/hockey/usa/nhl-2021-2022/carolina-hurricanes-new-york-rangers-OvBvEXON/
2021-22,2022-05-28,New York Rangers,Carolina Hurricanes,5.0,,True,145.0,275.0,154.0,145.0,154.0,/hockey/usa/nhl-2021-2022/new-york-rangers-carolina-hurricanes-hvPBAJdF/
2021-22,2022-05-26,Carolina Hurricanes,New York Rangers,3.0,,False,114.0,285.0,200.0,200.0,114.0,/hockey/usa/nhl-2021-2022/carolina-hurricanes-new-york-rangers-WU13Oawd/
2021-22,2022-05-24,New York Rangers,Carolina Hurricanes,4.0,,True,145.0,275.0,154.0,145.0,154.0,/hockey/usa/nhl-2021-2022/new-york-rangers-carolina-hurricanes-jcatCHxG/
2021-22,2022-05-22,New York Rangers,Carolina Hurricanes,3.0,,True,154.0,275.0,145.0,154.0,145.0,/hockey/usa/nhl-2021-2022/new-york-rangers-carolina-hurricanes-8Y9yDcN9/
2021-22,2022-05-20,Carolina Hurricanes,New York Rangers,2.0,,False,-105.0,300.0,229.0,229.0,-105.0,/hockey/usa/nhl-2021-2022/carolina-hurricanes-new-york-rangers-UsBXDw83/
2021-22,2022-05-18,Carolina Hurricanes,New York Rangers,2.0,,False,100.0,309.0,220.0,220.0,100.0,/hockey/usa/nhl-2021-2022/carolina-hurricanes-new-york-rangers-086TEJhc/
2021-22,2022-05-15,New York Rangers,Pittsburgh Penguins,4.0,,True,129.0,300.0,165.0,129.0,165.0,/hockey/usa/nhl-2021-2022/new-york-rangers-pittsburgh-penguins-r1mD28a1/
2021-22,2022-05-13,Pittsburgh Penguins,New York Rangers,5.0,,False,160.0,309.0,129.0,129.0,160.0,/hockey/usa/nhl-2021-2022/pittsburgh-penguins-new-york-rangers-roH0JTs9/
2021-22,2022-05-11,New York Rangers,Pittsburgh Penguins,5.0,,True,120.0,325.0,165.0,120.0,165.0,/hockey/usa/nhl-2021-2022/new-york-rangers-pittsburgh-penguins-Akr8xsir/
2021-22,2022-05-09,Pittsburgh Penguins,New York Rangers,7.0,,False,150.0,309.0,140.0,140.0,150.0,/hockey/usa/nhl-2021-2022/pittsburgh-penguins-new-york-rangers-MinUN2m0/
2021-22,2022-05-07,Pittsburgh Penguins,New York Rangers,7.0,,False,150.0,300.0,140.0,140.0,150.0,/hockey/usa/nhl-2021-2022/pittsburgh-penguins-new-york-rangers-vTdPOrYg/
2021-22,2022-05-05,New York Rangers,Pittsburgh Penguins,5.0,,True,-105.0,320.0,200.0,-105.0,200.0,/hockey/usa/nhl-2021-2022/new-york-rangers-pittsburgh-penguins-0xbLPOIm/
2021-22,2022-05-03,New York Rangers,Pittsburgh Penguins,4.0,,True,114.0,300.0,190.0,114.0,190.0,/hockey/usa/nhl-2021-2022/new-york-rangers-pittsburgh-penguins-W2gHQ43s/
2021-22,2022-04-29,New York Rangers,Washington Capitals,3.0,,True,145.0,300.0,145.0,145.0,145.0,/hockey/usa/nhl-2021-2022/new-york-rangers-washington-capitals-AozszR7L/
2021-22,2022-04-27,New York Rangers,Montreal Canadiens,4.0,,True,-120.0,334.0,240.0,-120.0,240.0,/hockey/usa/nhl-2021-2022/new-york-rangers-montreal-canadiens-WQ1LeUm3/
2021-22,2022-04-26,New York Rangers,Carolina Hurricanes,4.0,,True,140.0,300.0,150.0,140.0,150.0,/hockey/usa/nhl-2021-2022/new-york-rangers-carolina-hurricanes-voOy88OS/
2021-22,2022-04-23,Boston Bruins,New York Rangers,3.0,,False,129.0,300.0,170.0,170.0,129.0,/hockey/usa/nhl-2021-2022/boston-bruins-new-york-rangers-GQaBevZ5/
2021-22,2022-04-21,New York Islanders,New York Rangers,6.0,,False,165.0,300.0,129.0,129.0,165.0,/hockey/usa/nhl-2021-2022/new-york-islanders-new-york-rangers-2NZysuKC/
2021-22,2022-04-19,New York Rangers,Winnipeg Jets,3.0,,True,-125.0,325.0,260.0,-125.0,260.0,/hockey/usa/nhl-2021-2022/new-york-rangers-winnipeg-jets-xG6Bk678/
2021-22,2022-04-16,New York Rangers,Detroit Red Wings,4.0,,True,-227.0,390.0,450.0,-227.0,450.0,/hockey/usa/nhl-2021-2022/new-york-rangers-detroit-red-wings-UFUKGTmH/
2021-22,2022-04-13,Philadelphia Flyers,New York Rangers,4.0,,False,260.0,325.0,-135.0,-135.0,260.0,/hockey/usa/nhl-2021-2022/philadelphia-flyers-new-york-rangers-xpv4PIKD/
2021-22,2022-04-12,New York Rangers,Carolina Hurricanes,4.0,,True,154.0,290.0,140.0,154.0,140.0,/hockey/usa/nhl-2021-2022/new-york-rangers-carolina-hurricanes-UDimT0Ll/
2021-22,2022-04-09,New York Rangers,Ottawa Senators,5.0,,True,-192.0,375.0,350.0,-192.0,350.0,/hockey/usa/nhl-2021-2022/new-york-rangers-ottawa-senators-hh2TRmcB/
2021-22,2022-04-07,New York Rangers,Pittsburgh Penguins,3.0,,True,125.0,300.0,165.0,125.0,165.0,/hockey/usa/nhl-2021-2022/new-york-rangers-pittsburgh-penguins-4x15mP7d/
2021-22,2022-04-05,New Jersey Devils,New York Rangers,3.0,,False,200.0,350.0,-105.0,-105.0,200.0,/hockey/usa/nhl-2021-2022/new-jersey-devils-new-york-rangers-tdiG9FOb/
2021-22,2022-04-03,New York Rangers,Philadelphia Flyers,4.0,,True,-200.0,400.0,400.0,-200.0,400.0,/hockey/usa/nhl-2021-2022/new-york-rangers-philadelphia-flyers-0OGseG95/
2021-22,2022-04-01,New York Rangers,New York Islanders,3.0,,True,100.0,300.0,190.0,100.0,190.0,/hockey/usa/nhl-2021-2022/new-york-rangers-new-york-islanders-zHgdqJAg/
2021-22,2022-03-30,Detroit Red Wings,New York Rangers,5.0,,False,190.0,350.0,-105.0,-105.0,190.0,/hockey/usa/nhl-2021-2022/detroit-red-wings-new-york-rangers-MwaIXLBs/
2021-22,2022-03-29,Pittsburgh Penguins,New York Rangers,3.0,,False,100.0,325.0,200.0,200.0,100.0,/hockey/usa/nhl-2021-2022/pittsburgh-penguins-new-york-rangers-AaVaFvdD/
2021-22,2022-03-27,New York Rangers,Buffalo Sabres,5.0,,True,-156.0,309.0,375.0,-156.0,375.0,/hockey/usa/nhl-2021-2022/new-york-rangers-buffalo-sabres-02N2wir3/
2021-22,2022-03-25,New York Rangers,Pittsburgh Penguins,5.0,,True,160.0,320.0,125.0,160.0,125.0,/hockey/usa/nhl-2021-2022/new-york-rangers-pittsburgh-penguins-bwHY2A6j/
